root_key,icon_file,concept_ja
gleibh-,root-gleibh.png,付着
gʷelbh-,root-gwelbh.png,子宮
kal-1,root-kal1.png,杯
keni-,root-keni.png,埃
kneigʷh-,root-kneigwh.png,頼る
kret-2,root-kret2.png,拍子
kreuə-2,root-kreue2.png,打つ
kwei-,root-kwei.png,口笛
kō-,root-ko-2.png,研ぐ
las-,root-las.png,熱望する
leg-2,root-leg2.png,垂涎
leis-2,root-leis2.png,小さい
lēu-2,root-leu2.png,反響
mari-,root-mari.png,乙女
math-,root-math.png,昆虫
morwi-,root-morwi.png,蟻
nana,root-nana.png,おば
negʷh-ro-,root-negwhro.png,腎臓
nāu-1,root-nau1.png,死
od-2,root-od2.png,憎む
oid-,root-oid.png,膨張
pek-1,root-pek1.png,清浄
plou-,root-plou.png,ノミ
plē-(i)k-,root-pleik.png,裂く
prōkto-,root-prokto.png,肛門
pū̆-1,root-pu1.png,膨らむ
saus-,root-saus.png,乾燥
selk-,root-selk.png,引く
sem-2,root-sem2.png,夏
sengʷh-,root-sengwh.png,歌う
ser-5,root-ser5.png,掴む
sner-,root-sner.png,鳴く
sneubh-,root-sneubh.png,結婚
so-,root-so.png,これ
sper-2,root-sper2.png,回す
srebh-,root-srebh.png,吸う
swel-,root-swel.png,飲み込む
swesor-,root-swesor.png,姉妹
tak-1,root-tak1.png,黙る
temə-2,root-teme2.png,暗い
trem-,root-trem.png,震える
tu-,root-tu.png,あなた
wemə-,root-weme.png,吐く
wāg-,root-wag.png,壊す
yem-,root-yem.png,組む
reig-2,root-reig2.png,届く
sūro-,root-suro.png,すっぱい
ams-,root-ams.png,黒
greut-,root-greut.png,押す
ko(n)kho-,root-konkho.png,貝
rebh-2,root-rebh2.png,覆う
rū-no-,root-runo.png,謎
(s)mer-3,root-smer3.png,脂っこい
(s)ping-,root-sping.png,小鳥
(s)poi-mo-,root-spoimo.png,泡
(s)ter-n-,root-stern.png,とげ
(s)wāgh-,root-swagh.png,反響
-es-,root-es-3.png,抽象名詞接尾辞
-mo-,root-mo-2.png,
-no-,root-no.png,
-sko-,root-sko.png,反復
asinus,root-asinus.png,ロバ
bhlē-1,root-bhle1.png,吠える
bhlīg-,root-bhlig.png,叩く
bhrag-,root-bhrag.png,嗅ぐ
bhrem-2,root-bhrem2.png,突起
bhreus-,root-bhreus.png,膨れる
dakru-,root-dakru.png,涙
denk-,root-denk.png,噛む
dens-2,root-dens2.png,濃密
dergh-,root-dergh.png,握る
dhal-,root-dhal.png,咲く
dheugh-,root-dheugh.png,生産する
dhreibh-,root-dhreibh.png,押す
dhwenə-,root-dhwene.png,消える
egʷh-,root-egwh.png,飲む
elə-,root-ele.png,行く
engʷ-,root-engw.png,鼠蹊
ers-2,root-ers2.png,濡れる
euk-,root-euk.png,慣れる
gagina,root-gagina.png,逆らう
krem-,root-krem.png,玉ねぎ
kret-1,root-kret1.png,揺れる
kād-,root-kad-2.png,悲哀
kʷr̥mi-,root-kwrmi.png,虫
lab-,root-lab.png,舐める
lap-,root-lap.png,点火
lau-,root-lau.png,利益
lei-,root-lei.png,流れる
lep-2,root-lep2.png,平坦
leu-2,root-leu2-2.png,汚れ
leugh-,root-leugh.png,嘘をつく
mai-2,root-mai2.png,汚す
marko-,root-marko.png,馬
medhu-,root-medhu.png,蜜
mozgo-,root-mozgo.png,骨髄
nepōt-,root-nepot.png,孫
nes-1,root-nes1.png,帰還する
neu-2,root-neu2.png,頷く
neud-,root-neud.png,享受する
nu-,root-nu.png,今
nōt-,root-not.png,背中
om(e)so-,root-omeso.png,肩
ombh-ro-,root-ombhro.png,雨
papa,root-papa.png,パパ
ped-2,root-ped2.png,器
pel(i)s-,root-pelis.png,崖
perd-,root-perd.png,放屁する
perso-,root-perso.png,束
rezg-,root-rezg.png,編む
rē-2,root-re2.png,暗色
rēp-1,root-rep1.png,這う
sab-,root-sab.png,汁
sam-,root-sam.png,歌う
sel-es-,root-seles.png,湿地
sked-,root-sked.png,撒く
slēb-,root-sleb.png,弱る・眠る
smī-,root-smi.png,切る
sneg-,root-sneg.png,這う
sneudh-,root-sneudh.png,霧
sperə-,root-spere.png,足首
splend-,root-splend.png,輝く
stegh-,root-stegh.png,突く
swei-1,root-swei1.png,口笛
swel-2,root-swel2.png,燃える
swelə-,root-swele.png,膨れる
swer-,root-swer.png,話す
swer-3,root-swer3.png,重さを量る
swordo-,root-swordo.png,黒い
tegu-,root-tegu.png,厚い
tenk-2,root-tenk2.png,固まる
tep-,root-tep.png,暑い
trep-1,root-trep1.png,震える
u(wa)l-,root-uwal.png,うなる
uks-en-,root-uksen.png,雄牛
wai,root-wai.png,悲哀
wak-,root-wak.png,牛
widhu-,root-widhu.png,木
yek-2,root-yek2.png,狩る
yu-,root-yu.png,あなた
yēgʷ-ā-,root-yegwa.png,力
āmer-,root-amer.png,日
bheigʷ-,root-bheigw.png,輝く
dher-3,root-dher3.png,つぶやく
dheubh-,root-dheubh.png,くさび
leizd-,root-leizd.png,境界
spel-2,root-spel2.png,朗読
stāk-,root-stak.png,立つ
(s)keup-,root-skeup.png,房
(s)trei-,root-strei.png,鋭音
-mno-,root-mno.png,受動
-ter-,root-ter-2.png,者
-to-,root-to-2.png,形容詞化接尾辞
ab(e)l-,root-abel.png,りんご
agʷh-no-,root-agwhno.png,子羊
anət-,root-anet.png,鴨
aryo-,root-aryo.png,同胞
au-1,root-au1.png,〜的
au-3,root-au3.png,織る
bhel-u-,root-bhelu.png,破壊
bherg-,root-bherg.png,音
bhlei-,root-bhlei.png,膨らむ
bhrem-1,root-bhrem1.png,うなり
bhres-,root-bhres.png,爆発
dens-1,root-dens1.png,知力
derbh-,root-derbh.png,詰め込む
dhgh(y)es-,root-dhghyes.png,昨日
dhgʷher-,root-dhgwher.png,流入
dhreugh-,root-dhreugh.png,詐欺
eg-,root-eg-2.png,欠く
eghi-,root-eghi.png,蛇
eti,root-eti.png,〜等
gal-1,root-gal1.png,はげる
gh(a)id-o-,root-ghaido.png,羊
ghalgh-,root-ghalgh.png,絞首台
ghei-1,root-ghei1.png,駆り立てる
ghel-3,root-ghel3.png,去勢
gheləd-,root-gheled.png,塊
gladh-,root-gladh.png,滑らか
gue-,root-gue.png,たわむ
gʷerə-1,root-gwere1.png,山
gʷhrē-,root-gwhre.png,匂う
kak-,root-kak.png,可能にする
kelb-,root-kelb.png,助ける
ken-1,root-ken1.png,立ち上がる
ken-3,root-ken3.png,空
kenk-2,root-kenk2.png,耐える
kenk-3,root-kenk3.png,踵
keuk-,root-keuk.png,白くなる
kl̥ə-wo-,root-klewo.png,はげた
konə-mo-,root-konemo.png,すね
krek-1,root-krek1.png,編む
krut-,root-krut.png,楽器
krō̆po-,root-kropo.png,屋根
kēw-(e)ro-,root-kewero.png,北
laiwo-,root-laiwo.png,左
laks-,root-laks.png,鮭
leit-1,root-leit1.png,嫌悪
letro-,root-letro.png,革
leudh-1,root-leudh1.png,行く
magh-2,root-magh2.png,戦う
mak-,root-mak-2.png,鞄
menegh-,root-menegh.png,豊富
mezg-2,root-mezg2.png,編む
mregh-m(n)o-,root-mreghmno.png,脳
mā-3,root-ma3.png,湿気
mēi-,root-mei.png,温和
oito-,root-oito.png,誓い
os-,root-os-2.png,灰木
owi-,root-owi.png,羊
p(y)el-,root-pyel.png,ポプラ
perk-2,root-perk2.png,探す
pezd-,root-pezd.png,放屁する
prep-,root-prep.png,跳ぶ
pster-,root-pster.png,くしゃみ
puk-,root-puk.png,毛むくじゃら
pūro-,root-puro.png,穀粒
reig-1,root-reig1.png,縛る
rendh-,root-rendh.png,引き裂く
reudh-2,root-reudh2.png,切り開く
rēp-2,root-rep2.png,杭
s(w)okʷo-,root-swokwo.png,樹脂
sai-1,root-sai1.png,苦しむ
sal(i)k-,root-salik.png,柳
selp-,root-selp.png,脂肪
sendhro-,root-sendhro.png,砕屑
sengʷ-,root-sengw.png,沈む
sep-2,root-sep2.png,扱う
serk-,root-serk.png,完全にする
serp-1,root-serp1.png,鉤
si-lo-,root-silo.png,静寂
sloug-,root-sloug.png,手伝う
smeug-,root-smeug.png,煙る
sneit-,root-sneit.png,切る
srenk-,root-srenk.png,いびき
swen-to-,root-swento.png,健全
swep-2,root-swep2.png,投げる
swerbh-,root-swerbh.png,回す
swergh-,root-swergh.png,憂う
swombho-,root-swombho.png,海綿状
terp-,root-terp.png,喜ぶ
tit-,root-tit.png,くすぐる
twengh-,root-twengh.png,押す
wel-1,root-wel1.png,見る
welg-,root-welg.png,濡れる
wen-2,root-wen2.png,打つ
werə-2,root-were2.png,見つける
wes-2,root-wes2.png,湿る
wl̥p-ē-,root-wlpe.png,狐
wogʷh-ni-,root-wogwhni.png,楔
wokso-,root-wokso.png,蝋
wopsā-,root-wopsa.png,蜂
wrōd-,root-wrod-2.png,根
yēk-,root-yek-2.png,癒す
āpero-,root-apero.png,陸岸
ōku-,root-oku.png,速い
smeg-,root-smeg.png,味わう
wesr̥,root-wesr.png,春
(s)gʷes-,root-sgwes.png,消す
(s)mēlo-,root-smelo.png,小動物
(s)twer-2,root-stwer2.png,しっかり握る
(unknown),root-unknown.png,
-en-,root-en-2.png,名詞・形容詞接尾辞
-n-,root-n.png,
-tero-,root-tero.png,比較
-tu-,root-tu-2.png,抽象名詞接尾辞
-wer／-wen-,root-werwen.png,
-yos-,root-yos-2.png,強さ
-ē-,root-e-2.png,
adheso-,root-adheso.png,斧
ag-es-,root-ages.png,欠陥
agw(e)sī-,root-agwesi.png,斧
aig-,root-aig.png,山羊
aik-2,root-aik2.png,打つ
ais-,root-ais.png,願う
al-4,root-al4.png,研ぐ
algʷh-,root-algwh.png,稼ぐ
alu-,root-alu.png,魔術
an-2,root-an2.png,婦人
an-3,root-an3.png,注ぐ
ans-,root-ans.png,輪
anətā-,root-aneta.png,柱
apsā-,root-apsa.png,ポプラ
arə-,root-are.png,耕地
atto-,root-atto.png,父
badyo-,root-badyo.png,褐色
band-,root-band.png,微量
bhei-,root-bhei.png,蜂
bheld-,root-bheld.png,打撃
bhers-,root-bhers.png,迅速
bhlād-,root-bhlad.png,礼拝
bhāghu-,root-bhaghu.png,腕
daiwer-,root-daiwer.png,夫の兄弟
deigh-,root-deigh.png,ダニ
dheb-,root-dheb.png,圧縮
dhelbh-,root-dhelbh.png,掘る
