root_key,icon_file,concept_ja
wei-,root-wei.png,ねじる
bheid-,root-bheid.png,噛む
prī-,root-pri.png,愛す
ed-,root-ed.png,食う
nāu-2,root-nau2.png,船
der-2,root-der2.png,割れる
ekwo-,root-ekwo.png,馬
sreu-,root-sreu.png,流れる
ner-2,root-ner2.png,男
autos,root-autos.png,自己
gheslo-,root-gheslo.png,千
ghē-,root-ghe.png,解放する
i-,root-i.png,代名詞語幹
peiə-,root-peie.png,肥える
pelə-3,root-pele3.png,砦
sak-,root-sak.png,神聖化する
gr̥ə-no-,root-greno.png,穀物
agh-2,root-agh2.png,日
weik-4,root-weik4.png,曲がる
sal-,root-sal.png,塩
genu-1,root-genu1.png,膝
ank-,root-ank.png,曲げる
der-1,root-der1.png,走る
au-4,root-au4.png,知覚
meug-,root-meug.png,ねばり
pū̆-2,root-pu2.png,腐る
sed-2,root-sed2.png,進む
skeud-,root-skeud.png,射る・投げる
kʷent(h)-,root-kwenth.png,苦しむ・経験する
pel-2,root-pel2.png,青白い
pō(i)-,root-poi.png,飲む
dn̥ghū-,root-dnghu.png,舌
leikʷ-,root-leikw.png,去る
dheuə-,root-dheue.png,完了する
kʷrep-,root-kwrep.png,体
līk-,root-lik.png,形
me-2,root-me2-2.png,中央
terkʷ-,root-terkw.png,巻く
(s)lei-,root-slei.png,どろどろした
albho-,root-albho.png,白
ghers-,root-ghers.png,逆立つ
gē,root-ge.png,地球
mel-4,root-mel4.png,強い
n̥dher-,root-ndher.png,下に
ned-,root-ned.png,縛る
sē-,root-se.png,撒く
deuə-,root-deue.png,長い
bhendh-,root-bhendh.png,縛る
pāl-,root-pal.png,触る
(s)tenə-,root-stene.png,雷鳴がする
ai-2,root-ai2.png,燃える
at-,root-at.png,年
eis-,root-eis.png,激情
gʷhen-,root-gwhen.png,打つ
oktō(u),root-oktou.png,八
pant-,root-pant.png,全体
rei-1,root-rei1.png,引っ掻く
sel-4,root-sel4.png,跳ぶ
skand-,root-skand.png,飛び跳ねる
webh-,root-webh.png,織る
wer-1,root-wer1.png,吹出物
gʷerə-3,root-gwere3.png,好意を示す
gʷhī-,root-gwhi.png,糸
swen-,root-swen.png,音を立てる
dhwer-,root-dhwer.png,門
sā-,root-sa.png,満足させる
kand-,root-kand.png,輝く
bhudh-,root-bhudh.png,底
am-,root-am.png,母親
glei-,root-glei.png,粘土
leid-,root-leid.png,遊ぶ
od-1,root-od1.png,臭う
per-5,root-per5.png,売買する
pilo-,root-pilo.png,毛
pneu-,root-pneu.png,呼吸する
ser-1,root-ser1.png,保護する
werə-3,root-were3.png,話す
kwon-,root-kwon.png,犬
peig-,root-peig.png,切る
weik-5,root-weik5.png,戦う
kei-1,root-kei1.png,横たわる
ghes-,root-ghes.png,手
(s)lēg-,root-sleg.png,
lē-2,root-le2.png,行かせる
wl̥kʷo-,root-wlkwo.png,狼
ap-1,root-ap1.png,掴む
aus-,root-aus.png,輝く
glōgh-,root-glogh.png,刺
kagh-,root-kagh.png,捕らえる
rep-,root-rep.png,奪う
spend-,root-spend.png,奉納する
sper-4,root-sper4.png,撒く
weis-,root-weis.png,流れる
wi-,root-wi.png,離れる
ōs-,root-os.png,口
agro-,root-agro.png,野
as-,root-as.png,燃やす
ger-,root-ger.png,集める
weip-,root-weip.png,回す
(s)mer-1,root-smer1.png,覚えている
aim-,root-aim.png,模倣
(s)mer-2,root-smer2.png,分ける
bhrūg-,root-bhrug.png,農産物
mag-,root-mag.png,こねる
spei-,root-spei.png,尖った先端
(s)twer-1,root-stwer1.png,回す
aus-2,root-aus2.png,金
aus-4,root-aus4.png,耳
koro-,root-koro.png,戦い
pent-,root-pent.png,行く
steigh-,root-steigh.png,またぐ
wīn-o-,root-wino.png,ワイン
peisk-,root-peisk.png,魚
plāk-2,root-plak2.png,打つ
arg-,root-arg.png,輝く
wērə-o-,root-wereo.png,真実
syū-,root-syu.png,縛る
bherəg-,root-bhereg.png,輝く
gʷen-,root-gwen.png,女性
temp-,root-temp.png,伸ばす
(s)nāu-,root-snau.png,泳ぐ
-tro-,root-tro.png,可能
bak-,root-bak.png,杖・支え
deph-,root-deph.png,刻む
kap-ro-,root-kapro.png,雄鹿
kent-,root-kent.png,刺す
kneu-,root-kneu.png,木の実
ors-,root-ors.png,尻
pē(i)-,root-pei.png,傷つける
reidh-,root-reidh.png,乗る
servus,root-servus.png,奴隷
snu-,root-snu.png,鼻
swād-,root-swad.png,甘い
sēmi-,root-semi.png,半分
kel-4,root-kel4.png,突出する・丘
men-3,root-men3.png,留まる
nek-1,root-nek1.png,死
gherə-,root-ghere.png,内臓
reiə-,root-reie.png,流れる
bhrāter-,root-bhrater.png,兄弟
